452,GIS1342,151250.00,0.00,0.00,0.00,33750.00,,100.00,,,
455,GIS1367,78750.00,0.00,0.00,0.00,10000.00,,100.00,,,
465,GIS1373,40500.00,1000.00,1500.00,1000.00,5750.00,,100.00,,,
467,GIS1379,82250.00,0.00,0.00,0.00,10000.00,,100.00,,,
468,GIS1381,75250.00,0.00,0.00,0.00,6250.00,,100.00,,,
469,GIS1383,27750.00,1000.00,1500.00,1000.00,6000.00,,0.00,,,
470,GIS1382,46250.00,0.00,1500.00,1000.00,10000.00,,100.00,,,
473,GIS1378,33000.00,1000.00,1500.00,1000.00,2250.00,,100.00,,,
474,GIS1418,37750.00,1000.00,1500.00,1000.00,2000.00,,100.00,,,
479,GIS1392,39000.00,1000.00,1500.00,1000.00,9250.00,,100.00,,,
483,GIS1400,85000.00,0.00,0.00,0.00,10000.00,,100.00,,,
487,GIS1421,51250.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
489,GIS1419,25000.00,1000.00,1500.00,1000.00,7750.00,,0.00,,,
498,GIS1453,33250.00,1000.00,1500.00,1000.00,2250.00,,100.00,,,
501,GIS1951,19750.00,1000.00,1500.00,1000.00,1750.00,,0.00,,,
504,GIS1509,78750.00,0.00,0.00,0.00,13750.00,,100.00,,,
505,GIS1508,42750.00,1000.00,1500.00,1000.00,0.00,,100.00,,,
506,GIS1510,32750.00,1000.00,1500.00,1000.00,2250.00,,100.00,,,
510,GIS1541,25250.00,1000.00,1500.00,1000.00,3250.00,,100.00,,,
511,GIS1531,14500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
512,GIS1219,32250.00,1000.00,1500.00,1000.00,7625.00,,100.00,,,
514,GIS1567,41500.00,0.00,1500.00,1000.00,8500.00,,100.00,,,
518,GIS0740,41500.00,0.00,1500.00,1000.00,6000.00,2000.00,100.00,,,
519,GIS1575,34750.00,1000.00,1500.00,1000.00,3750.00,,100.00,,,
520,GIS1602,14500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
522,GIS1741,14500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
524,GIS1711,32250.00,1000.00,1500.00,1000.00,1250.00,,100.00,,,
528,GIS1710,53750.00,0.00,1500.00,1000.00,11000.00,,100.00,,,
529,GIS1715,34750.00,1000.00,1500.00,1000.00,7000.00,,100.00,,,
531,GIS1725,50250.00,0.00,1500.00,1000.00,1500.00,,100.00,,,
532,GIS1732,51250.00,0.00,1500.00,1000.00,10000.00,,100.00,,,
533,GIS1733,57250.00,0.00,1500.00,0.00,7500.00,,100.00,,,
535,GIS1735,30750.00,1000.00,1500.00,1000.00,3250.00,800.00,100.00,,,
537,GIS1762,46500.00,0.00,1500.00,1000.00,0.00,,100.00,,,
542,GIS1779,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
543,GIS1780,33750.00,1000.00,1500.00,1000.00,3500.00,,100.00,,,
544,GIS1787,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
545,GIS1809,51250.00,0.00,1500.00,1000.00,8000.00,,100.00,,,
546,GIS1807,32250.00,1000.00,1500.00,1000.00,1250.00,,100.00,,,
555,GIS1872,32750.00,1000.00,1500.00,1000.00,1750.00,,100.00,,,
556,GIS1884,30250.00,1000.00,1500.00,1000.00,6500.00,,100.00,,,
557,GIS1899,24500.00,1000.00,1500.00,1000.00,6750.00,,0.00,,,
561,GIS1905,32250.00,1000.00,1500.00,1000.00,375.00,,100.00,,,
563,GIS1915,46250.00,0.00,1500.00,1000.00,4375.00,,100.00,,,
564,GIS1929,157500.00,0.00,0.00,0.00,56500.00,,100.00,,,
566,GIS1730,51500.00,0.00,1500.00,1000.00,6250.00,,100.00,,,
568,GIS1691,62000.00,0.00,0.00,0.00,12500.00,,100.00,,,
571,GIS1960,55500.00,0.00,1500.00,1000.00,6500.00,,100.00,,,
573,GIS1799,75000.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
574,GIS1993,58750.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
576,GIS2004,24500.00,1000.00,1500.00,1000.00,6250.00,,0.00,,,
579,GIS2039,30250.00,1000.00,1500.00,1000.00,625.00,,100.00,,,
580,GIS2009,30500.00,1000.00,1500.00,1000.00,3000.00,,100.00,,,
581,GIS2012,22750.00,1000.00,1500.00,1000.00,2000.00,,100.00,,,
582,GIS2025,48750.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
585,GIS2049,49750.00,0.00,1500.00,1000.00,3500.00,,100.00,,,
586,GIS2040,66250.00,0.00,1500.00,1000.00,2125.00,,100.00,,,
587,GIS2041,37750.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
590,GIS2054,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
591,GIS2067,51250.00,0.00,1500.00,1000.00,4250.00,,100.00,,,
592,GIS2057,42000.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
593,GIS2065,77750.00,0.00,0.00,0.00,10000.00,,100.00,,,
595,GIS2090,38750.00,0.00,1500.00,1000.00,2500.00,,100.00,,,
599,GIS2106,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
600,GIS2132,22000.00,1000.00,1500.00,1000.00,5750.00,,0.00,,,
606,GIS2174,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
607,GIS2176,22750.00,1000.00,1500.00,1000.00,1500.00,,100.00,,,
608,GIS2377,19250.00,1000.00,1500.00,1000.00,1250.00,,0.00,,,
609,GIS2179,31250.00,0.00,1500.00,1000.00,625.00,,100.00,,,
611,GIS2593,37500.00,1000.00,1500.00,1000.00,5500.00,,100.00,,,
612,SFL0015,53750.00,0.00,1500.00,1000.00,5000.00,,100.00,,,
613,GIS2200,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
614,GIS2202,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
615,GIS2180,61250.00,0.00,0.00,0.00,12750.00,,100.00,,,
616,GIS2199,31500.00,0.00,1500.00,1000.00,2500.00,,100.00,,,
617,GIS2203,31250.00,0.00,1500.00,1000.00,625.00,,100.00,,,
618,GIS2204,36250.00,0.00,1500.00,1000.00,3500.00,,100.00,,,
619,GIS2209,13500.00,1000.00,1500.00,1000.00,3250.00,,0.00,,,
621,GIS2241,19500.00,1000.00,1500.00,1000.00,3250.00,,100.00,,,
622,GIS2217,58750.00,0.00,0.00,0.00,6000.00,,100.00,,,
623,GIS2227,55250.00,0.00,0.00,0.00,5750.00,,100.00,,,
626,GIS2277,36250.00,0.00,1500.00,1000.00,10000.00,,100.00,,,
627,GIS2300,61500.00,0.00,0.00,0.00,2500.00,,100.00,,,
628,GIS2312,27000.00,1000.00,1500.00,1000.00,5000.00,,100.00,,,
629,GIS2299,44750.00,0.00,0.00,1000.00,1750.00,1600.00,100.00,,,
